"Code département";"Libellé département";"Code canton";"Libellé canton";Inscrits;Votants;"% Votants";Abstentions;"% Abstentions";Exprimés;"% Exprimés/inscrits";"% Exprimés/votants";Blancs;"% Blancs/inscrits";"% Blancs/votants";Nuls;"% Nuls/inscrits";"% Nuls/votants";"Nuance candidat 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Nuance candidat 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Nuance candidat 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Nuance candidat 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Nuance candidat 5";"Voix 5";"% Voix/inscrits 5";"% Voix/exprimés 5";"Nuance candidat 6";"Voix 6";"% Voix/inscrits 6";"% Voix/exprimés 6"
"12";Aveyron;"1213";"Monts du Réquistanais";8987;6876;"76,51%";2111;"23,49%";6428;"71,53%";"93,48%";289;"3,22%";"4,20%";159;"1,77%";"2,31%";ENS;3624;"40,32%";"56,38%";UXD;2804;"31,20%";"43,62%";;;;;;;;;;;;;;;;
"12";Aveyron;"1214";"Nord-Lévezou";10847;8297;"76,49%";2550;"23,51%";7772;"71,65%";"93,67%";360;"3,32%";"4,34%";165;"1,52%";"1,99%";ENS;5016;"46,24%";"64,54%";RN;2234;"20,60%";"28,74%";UXD;522;"4,81%";"6,72%";;;;;;;;;;;;
"12";Aveyron;"1215";"Raspes et Lévezou";9066;6956;"76,73%";2110;"23,27%";6538;"72,12%";"93,99%";288;"3,18%";"4,14%";130;"1,43%";"1,87%";ENS;3749;"41,35%";"57,34%";UXD;2789;"30,76%";"42,66%";;;;;;;;;;;;;;;;
"12";Aveyron;"1216";"Rodez-1";6842;4376;"63,96%";2466;"36,04%";4114;"60,13%";"94,01%";177;"2,59%";"4,04%";85;"1,24%";"1,94%";ENS;2876;"42,03%";"69,91%";RN;1238;"18,09%";"30,09%";;;;;;;;;;;;;;;;
"12";Aveyron;"1217";"Rodez-2";8394;5596;"66,67%";2798;"33,33%";5230;"62,31%";"93,46%";260;"3,10%";"4,65%";106;"1,26%";"1,89%";ENS;3791;"45,16%";"72,49%";RN;1439;"17,14%";"27,51%";;;;;;;;;;;;;;;;
"12";Aveyron;"1218";"Rodez-Onet";9584;6509;"67,92%";3075;"32,08%";6161;"64,28%";"94,65%";229;"2,39%";"3,52%";119;"1,24%";"1,83%";ENS;4213;"43,96%";"68,38%";RN;1948;"20,33%";"31,62%";;;;;;;;;;;;;;;;
"12";Aveyron;"1219";"Saint-Affrique";9359;6933;"74,08%";2426;"25,92%";6342;"67,76%";"91,48%";386;"4,12%";"5,57%";205;"2,19%";"2,96%";ENS;4060;"43,38%";"64,02%";UXD;2282;"24,38%";"35,98%";;;;;;;;;;;;;;;;
"12";Aveyron;"1220";"Tarn et Causses";8920;6752;"75,70%";2168;"24,30%";6260;"70,18%";"92,71%";379;"4,25%";"5,61%";113;"1,27%";"1,67%";ENS;3765;"42,21%";"60,14%";UXD;2495;"27,97%";"39,86%";;;;;;;;;;;;;;;;
"12";Aveyron;"1221";Vallon;10398;7902;"76,00%";2496;"24,00%";7370;"70,88%";"93,27%";391;"3,76%";"4,95%";141;"1,36%";"1,78%";ENS;5078;"48,84%";"68,90%";RN;2292;"22,04%";"31,10%";;;;;;;;;;;;;;;;
"12";Aveyron;"1222";"Villefranche-de-Rouergue";9019;6413;"71,11%";2606;"28,89%";5597;"62,06%";"87,28%";533;"5,91%";"8,31%";283;"3,14%";"4,41%";UG;3201;"35,49%";"57,19%";RN;2396;"26,57%";"42,81%";;;;;;;;;;;;;;;;
"12";Aveyron;"1223";"Villeneuvois et Villefranchois";8890;6772;"76,18%";2118;"23,82%";5787;"65,10%";"85,45%";682;"7,67%";"10,07%";303;"3,41%";"4,47%";UG;2987;"33,60%";"51,62%";RN;2800;"31,50%";"48,38%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1301";"Aix-en-Provence-1";51460;36172;"70,29%";15288;"29,71%";34393;"66,83%";"95,08%";1441;"2,80%";"3,98%";338;"0,66%";"0,93%";UG;16208;"31,50%";"47,13%";ENS;6317;"12,28%";"18,37%";RN;5924;"11,51%";"17,22%";UXD;5944;"11,55%";"17,28%";;;;;;;;
"13";"Bouches-du-Rhône";"1302";"Aix-en-Provence-2";44519;28842;"64,79%";15677;"35,21%";27209;"61,12%";"94,34%";1286;"2,89%";"4,46%";347;"0,78%";"1,20%";UG;14851;"33,36%";"54,58%";ENS;2244;"5,04%";"8,25%";RN;7324;"16,45%";"26,92%";UXD;2790;"6,27%";"10,25%";;;;;;;;
"13";"Bouches-du-Rhône";"1303";Allauch;60029;42956;"71,56%";17073;"28,44%";40929;"68,18%";"95,28%";1521;"2,53%";"3,54%";506;"0,84%";"1,18%";ENS;16420;"27,35%";"40,12%";RN;24509;"40,83%";"59,88%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1304";Arles;46304;31429;"67,88%";14875;"32,12%";29420;"63,54%";"93,61%";1445;"3,12%";"4,60%";564;"1,22%";"1,79%";UG;14607;"31,55%";"49,65%";RN;14813;"31,99%";"50,35%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1305";Aubagne;46915;30451;"64,91%";16464;"35,09%";28521;"60,79%";"93,66%";1477;"3,15%";"4,85%";453;"0,97%";"1,49%";UG;10326;"22,01%";"36,20%";ENS;2282;"4,86%";"8,00%";RN;15913;"33,92%";"55,79%";;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1306";"BERRE-L'ETANG";56139;39192;"69,81%";16947;"30,19%";37591;"66,96%";"95,91%";1203;"2,14%";"3,07%";398;"0,71%";"1,02%";ENS;17630;"31,40%";"46,90%";RN;19961;"35,56%";"53,10%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1307";CHATEAURENARD;53545;37119;"69,32%";16426;"30,68%";33222;"62,05%";"89,50%";2941;"5,49%";"7,92%";956;"1,79%";"2,58%";UG;10471;"19,56%";"31,52%";RN;22751;"42,49%";"68,48%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1308";"LA CIOTAT";61879;42171;"68,15%";19708;"31,85%";38653;"62,47%";"91,66%";2804;"4,53%";"6,65%";714;"1,15%";"1,69%";UG;15740;"25,44%";"40,72%";RN;22913;"37,03%";"59,28%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1309";Gardanne;52198;34551;"66,19%";17647;"33,81%";32590;"62,44%";"94,32%";1515;"2,90%";"4,38%";446;"0,85%";"1,29%";UG;5991;"11,48%";"18,38%";ENS;7833;"15,01%";"24,03%";RN;18766;"35,95%";"57,58%";;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1310";Istres;48934;32529;"66,48%";16405;"33,52%";30512;"62,35%";"93,80%";1413;"2,89%";"4,34%";604;"1,23%";"1,86%";UG;12501;"25,55%";"40,97%";RN;18011;"36,81%";"59,03%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1312";"Marseille-1";18465;12284;"66,53%";6181;"33,47%";11585;"62,74%";"94,31%";550;"2,98%";"4,48%";149;"0,81%";"1,21%";DVG;8163;"44,21%";"70,46%";RN;3422;"18,53%";"29,54%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1315";"Marseille-4";4274;2077;"48,60%";2197;"51,40%";2017;"47,19%";"97,11%";47;"1,10%";"2,26%";13;"0,30%";"0,63%";UG;1207;"28,24%";"59,84%";RN;810;"18,95%";"40,16%";;;;;;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1316";"Marseille-5";31327;18435;"58,85%";12892;"41,15%";17564;"56,07%";"95,28%";661;"2,11%";"3,59%";210;"0,67%";"1,14%";DVG;3724;"11,89%";"21,20%";UG;6513;"20,79%";"37,08%";RN;7327;"23,39%";"41,72%";;;;;;;;;;;;
"13";"Bouches-du-Rhône";"1317";"Marseille-6";45108;28065;"62,22%";17043;"37,78%";26559;"58,88%";"94,63%";1188;"2,63%";"4,23%";318;"0,70%";"1,13%";UG;12306;"27,28%";"46,33%";RN;14253;"31,60%";"53,67%";;;;;;;;;;;;;;;;
