"Code département";"Libellé département";"Code canton";"Libellé canton";Inscrits;Votants;"% Votants";Abstentions;"% Abstentions";Exprimés;"% Exprimés/inscrits";"% Exprimés/votants";Blancs;"% Blancs/inscrits";"% Blancs/votants";Nuls;"% Nuls/inscrits";"% Nuls/votants";"Nuance candidat 1";"Voix 1";"% Voix/inscrits 1";"% Voix/exprimés 1";"Nuance candidat 2";"Voix 2";"% Voix/inscrits 2";"% Voix/exprimés 2";"Nuance candidat 3";"Voix 3";"% Voix/inscrits 3";"% Voix/exprimés 3";"Nuance candidat 4";"Voix 4";"% Voix/inscrits 4";"% Voix/exprimés 4";"Nuance candidat 5";"Voix 5";"% Voix/inscrits 5";"% Voix/exprimés 5";"Nuance candidat 6";"Voix 6";"% Voix/inscrits 6";"% Voix/exprimés 6"
"47";"Lot-et-Garonne";"4702";"Agen-2";9913;7057;"71,19%";2856;"28,81%";6638;"66,96%";"94,06%";302;"3,05%";"4,28%";117;"1,18%";"1,66%";ENS;3559;"35,90%";"53,62%";RN;3079;"31,06%";"46,38%";;;;;;;;;;;;;;;;
"47";"Lot-et-Garonne";"4703";"Agen-3";8607;5487;"63,75%";3120;"36,25%";5182;"60,21%";"94,44%";222;"2,58%";"4,05%";83;"0,96%";"1,51%";ENS;3222;"37,43%";"62,18%";RN;1960;"22,77%";"37,82%";;;;;;;;;;;;;;;;
"47";"Lot-et-Garonne";"4704";"Agen-4";12129;8331;"68,69%";3798;"31,31%";7831;"64,56%";"94,00%";351;"2,89%";"4,21%";149;"1,23%";"1,79%";ENS;4621;"38,10%";"59,01%";RN;3210;"26,47%";"40,99%";;;;;;;;;;;;;;;;
"47";"Lot-et-Garonne";"4705";"L'Albret";12867;9455;"73,48%";3412;"26,52%";8828;"68,61%";"93,37%";446;"3,47%";"4,72%";181;"1,41%";"1,91%";ENS;4576;"35,56%";"51,84%";RN;4252;"33,05%";"48,16%";;;;;;;;;;;;;;;;
"47";"Lot-et-Garonne";"4706";"Le Confluent";9713;6992;"71,99%";2721;"28,01%";6492;"66,84%";"92,85%";359;"3,70%";"5,13%";141;"1,45%";"2,02%";UG;1765;"18,17%";"27,19%";DVD;1338;"13,78%";"20,61%";RN;3389;"34,89%";"52,20%";;;;;;;;;;;;
"47";"Lot-et-Garonne";"4707";"Les Coteaux de Guyenne";9685;7149;"73,82%";2536;"26,18%";6553;"67,66%";"91,66%";426;"4,40%";"5,96%";170;"1,76%";"2,38%";UG;2634;"27,20%";"40,20%";RN;3919;"40,46%";"59,80%";;;;;;;;;;;;;;;;
"47";"Lot-et-Garonne";"4708";"Les Forêts de Gascogne";12233;8875;"72,55%";3358;"27,45%";8069;"65,96%";"90,92%";563;"4,60%";"6,34%";243;"1,99%";"2,74%";UG;3268;"26,71%";"40,50%";RN;4801;"39,25%";"59,50%";;;;;;;;;;;;;;;;
"47";"Lot-et-Garonne";"4709";"Le Fumélois";13323;9367;"70,31%";3956;"29,69%";8869;"66,57%";"94,68%";313;"2,35%";"3,34%";185;"1,39%";"1,98%";DVD;4776;"35,85%";"53,85%";RN;4093;"30,72%";"46,15%";;;;;;;;;;;;;;;;
"47";"Lot-et-Garonne";"4710";"Le Haut Agenais Périgord";10004;7418;"74,15%";2586;"25,85%";7110;"71,07%";"95,85%";200;"2,00%";"2,70%";108;"1,08%";"1,46%";DVD;3728;"37,27%";"52,43%";RN;3382;"33,81%";"47,57%";;;;;;;;;;;;;;;;
"47";"Lot-et-Garonne";"4711";Lavardac;9927;7072;"71,24%";2855;"28,76%";6611;"66,60%";"93,48%";331;"3,33%";"4,68%";130;"1,31%";"1,84%";UG;801;"8,07%";"12,12%";ENS;2066;"20,81%";"31,25%";RN;3744;"37,72%";"56,63%";;;;;;;;;;;;
